Area Code,Cogs,DifferenceBetweenActualandTargetProfit,Date,Inventory Margin,Margin,Market_size,Market,Marketing,Product_line,Product_type,Product,Profit,Sales,State,Target_cogs,Target_margin,Target_profit,Target_sales ,Total_expenses,Type,Month,Profit_Margin
303,51,-35,2012-10-01,503,71,Major Market,Central,46,Leaves,Herbal Tea,Lemon,-5,122,Colorado,30,60,30,90,76,Decaf,10,-0.040983606557377046
970,52,-24,2012-10-01,405,71,Major Market,Central,17,Leaves,Herbal Tea,Mint,26,123,Colorado,30,60,50,90,45,Decaf,10,0.21138211382113822
409,43,-22,2012-10-02,419,64,Major Market,South,13,Leaves,Herbal Tea,Lemon,28,107,Texas,30,60,50,90,36,Decaf,10,0.2616822429906542
850,38,-15,2012-10-03,871,56,Major Market,East,10,Leaves,Tea,Darjeeling,35,94,Florida,40,60,50,100,21,Regular,10,0.3723404255319149
562,72,6,2012-10-04,650,110,Major Market,West,23,Leaves,Tea,Green Tea,56,182,California,20,60,50,80,54,Regular,10,0.3076923076923077
712,0,-29,2012-10-05,430,43,Small Market,Central,0,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,60,60,60,12,Decaf,10,0.7209302325581395
860,47,-29,2012-10-06,375,64,Small Market,East,15,Beans,Espresso,Decaf Espresso,21,111,Connecticut,30,60,50,90,43,Decaf,10,0.1891891891891892
918,27,-39,2012-10-07,859,39,Small Market,South,7,Beans,Coffee,Decaf Irish Cream,21,66,Oklahoma,30,60,60,90,18,Decaf,10,0.3181818181818182
775,31,-43,2012-10-08,1000,37,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,7,68,Nevada,30,60,50,90,30,Decaf,10,0.10294117647058823
435,40,-23,2012-10-09,881,59,Small Market,West,11,Beans,Espresso,Decaf Espresso,37,99,Utah,20,60,60,80,22,Decaf,10,0.37373737373737376
603,49,-27,2012-10-10,310,71,Small Market,East,15,Beans,Coffee,Amaretto,33,120,New Hampshire,30,60,60,90,38,Regular,10,0.275
